
432|3D Bat Attack|CheetahSoft Ltd|1984|Arcade Game: Maze|/pub/sinclair/games/b/BatAttack3D.tap.zip|8
432|3D Bat Attack|CheetahSoft Ltd|1984|Arcade Game: Maze|/pub/sinclair/games/b/BatAttack3D.tzx.zip|8
917|3D Chess|Bill Bennett|1983|Game: Board|/pub/sinclair/games/c/Chess3D.z80.zip|10
34798|3D Chess 2019|Arkannoyed|2019|Game: Board|/zxdb/sinclair/entries/0034798/3DChess2019.tap.zip|8
1033|3D Combat Zone|Artic Computing Ltd|1983|Arcade Game: Shoot-em-up|/pub/sinclair/games/c/CombatZone3D.tap.zip|8
1033|3D Combat Zone|Artic Computing Ltd|1983|Arcade Game: Shoot-em-up|/pub/sinclair/games/c/CombatZone3D.tzx.zip|8
1033|3D Combat Zone|Artic Computing Ltd|1983|Arcade Game: Shoot-em-up|/pub/sinclair/games/c/CombatZone3D(Combat3D)(Microbyte1).tzx.zip|8
1033|3D Combat Zone|Artic Computing Ltd|1983|Arcade Game: Shoot-em-up|/pub/sinclair/games/c/CombatZone3D(Dixons).tzx.zip|8
1316|3D Defence|Empire Software|1987|Arcade Game: Shoot-em-up|/pub/sinclair/games/d/Defence3D.tap.zip|8
13144|3D Defenda|Contrast Software|1983|Arcade Game: Shoot-em-up|/pub/sinclair/games/d/Defenda3D.tzx.zip|8
21622|3D Defender|Russell Marks|2003|Arcade Game: Shoot-em-up|/pub/sinclair/games/d/Defender3D.tap.zip|8
1356|3D Desert Patrol|CRL Group PLC|1983|Arcade Game: Shoot-em-up|/pub/sinclair/games/d/DesertPatrol3D.tap.zip|8
1356|3D Desert Patrol|CRL Group PLC|1983|Arcade Game: Shoot-em-up|/pub/sinclair/games/d/DesertPatrol3D.tzx.zip|8
15159|3D Driver|Virgin Books|1983|Arcade Game: Action|/pub/sinclair/games/d/Driver3D(NightDriver)(LucaBordoni).z80.zip|10
15159|3D Driver|Virgin Books|1983|Arcade Game: Action|/pub/sinclair/games/d/Driver3D.tap.zip|8
2115|3D Grand Prix|Zeppelin Games Ltd|1991|Arcade Game: Race 'n' Chase|/pub/sinclair/games/g/GrandPrix3D(MasterDisk).dsk.zip|11
2115|3D Grand Prix|Zeppelin Games Ltd|1991|Arcade Game: Race 'n' Chase|/pub/sinclair/games/g/GrandPrix3D.tap.zip|8
2115|3D Grand Prix|Zeppelin Games Ltd|1991|Arcade Game: Race 'n' Chase|/pub/sinclair/games/g/GrandPrix3D.tzx.zip|8
2797|3D Labyrinth|Busy Software|1989|Arcade Game: Maze|/pub/sinclair/games/l/Labyrinth3D.tap.zip|8
2955|3D Lunattack|Hewson Consultants Ltd|1984|Arcade Game: Shoot-em-up|/pub/sinclair/games/l/Lunattack3D.tap.zip|8
2955|3D Lunattack|Hewson Consultants Ltd|1984|Arcade Game: Shoot-em-up|/pub/sinclair/games/l/Lunattack3D.tzx.zip|8
3058|3D Master Game|Supersoft Systems|1983|Game: Puzzle|/pub/sinclair/games/m/MasterGame3DPart1.z80.zip|10
3058|3D Master Game|Supersoft Systems|1983|Game: Puzzle|/pub/sinclair/games/m/MasterGame3DPart2.z80.zip|10
3085|3D Maze|Impact Software [1]|1982|Arcade Game: Maze|/pub/sinclair/games/m/Maze3D.tap.zip|8
16020|3D Maze|Phipps Associates|1982|Arcade Game: Maze|/pub/sinclair/games/m/Maze3D_2.tap.zip|8
13304|3D Maze|Fontana Publishing|1982|Arcade Game: Maze|/pub/sinclair/games/m/Maze3D(Labirint)(DarkoVlado).tap.zip|8
3085|3D Maze|Impact Software [1]|1982|Arcade Game: Maze|/pub/sinclair/games/m/Maze3D.tzx.zip|8
3096|3D Maze of Gold|Gilsoft International|1982|Arcade Game: Maze|/pub/sinclair/games/m/MazeOfGold3D.tap.zip|8
3096|3D Maze of Gold|Gilsoft International|1982|Arcade Game: Maze|/pub/sinclair/games/m/MazeOfGold3D.tzx.zip|8
